,Unnamed: 0,news_website,news_url,news_title,news_content
454,454,takvim,/yazarlar/lutfi_albayrak/2022/12/26/bir-sicak-bir-soguk,Bir sıcak bir soğuk - Takvim," ÖNCELİKLE sizin de aklınıza gelen ilk seçeneklerden başlayalım: Fark etmeden bir şey yapmış ve karşı tarafı incitmiş ya da kızdırmış olabilirsiniz!
 SİZDEN hoşlanmıyor olabilir ancak sizi kırmak istemediği için de stabil bir tavır sergileyemiyor olabilir.
 KAFASINDA sizinle ilgili çok fazla soru işareti olabilir!
Kimi zaman ona çok güven verici geliyorsunuzdur, kimi zamansa tam aksidir. Bu da tavırlarında bir sıcak, bir soğuk olarak değişmeli bir kombi etkisi gösterebilir.
 BELKİ DE size karşı derin duygular besliyordur ve tam olarak ne yapması gerektiğini bilmiyordur. İyice kendini kaptırmamak için bazen soğuk davranıyordur, bazense duygularına yenik düşüp çok sıcak davranıyordur.
 ARTIK insanların tuhaf fantezileri olduğunu da göz önünde bulundurarak; size bir soğuk, bir sıcak davranarak aklınızı ve duygularınızı bulandırmaktan hastalıklı bir haz duyuyor olabilir.
 BELKİ DE meselenin sizinle yakından uzaktan hiçbir alakası yoktur. Yalnızca en iyi günlerinde değildir, o yüzden bireysel algılamamaya çalışın.
 BİR sıcak, bir soğuk davranma sizi daha yakından tanımak için bir taktik de olabilir.
Değişen tavırlara vereceğiniz tepkileri ölçmek istiyordur.
 KARŞINIZDAKİ kişi bipolar yani duygudurum bozukluğundan muzdarip olabilir.
 BU kişi ziyadesiyle bencil biri olduğundan canı nasıl isterse öyle davranıp karşıdaki kişinin duygularını önemsemiyor olabilir.
Siz siz olun önemsenmediğiniz yerde durmayın!
 SİZİN davranışlarınıza ayna tutuyor olabilir. Bu sebeple öncelikle kendi davranışlarınızda belirli bir stabilite yakalamaya çalışmalısınız.
 VALLAHİ bizden duymuş olmayın ama alkol, uyuşturucu madde vs. gibi herhangi bir bağımlılık söz konusu olabilir!
Yüksekken sıcak oluyordur, düşüşe geçerken soğuklaşıyordur belki de kimbilir...
 FAZLA duygusal biri olduğundan herhangi bir dış etmen onu fazlasıyla etkiliyor olabilir. Sıradan bir şeye fazlasıyla üzüldüğü zamanlarda soğuk-sıcak ayarını tutturamıyordur.
Üzerinize alınmayın.
 VE son olarak o kişi çoğu insana yaka silktirmiş ikizler, yengeç, başak ya da balık burcudur.
Onu değiştiremez ya da herhangi bir sabitliğe ulaştıramazsınız.
Öyle kabul etmek en iyisi.

LÜZUMSUZ BİLGİLER
CHEVROLET yeni model arabası için ""Nova"" ismini buldu ama sonra arabayı Latin Amerika'da satamayacakları anlaşıldı...
Çünkü ""Nova"" İspanyolca'da ""gitmez"" anlamına geliyordu.

TESPİTLİ YORUM
@yeteramahayir ANNEMLER güneş enerjisi paneli taktırdılar çatıya. Sürekli elektrik üretiyor diye, sürekli fırın çalıştırıp sürekli hamur işi yapıyorlar.
Yenilenebilir enerjiyi yenilebilir enerjiye çevirmişler.

ALKIŞLIYORUM
@ozturkefendi_ HANIM bayağı film izliyor. Ne zaman film izlemek istesem ""Ben bunu izledim"" diyor. Acayip sinirleniyorum.
Bugün gelirken düğün videosunu flasha attım.
""Harika bir film buldum bunu izlemen mümkün değil"" dedim.
Açtım düğün videosunu izliyoruz.
Gün intikam günüdür.

@slayingflowers ERKEK kardeşimle arkeoloji müzesine gittik, Poseidon heykelini gördüm. İsmi aklıma gelmedi dedim ki ""Deniz tanrısının adı neydi ya hatırlayamadım?"" Diyor ki AQUAMAN...
Erkeklerin maksimum kültür seviyesi.
"
455,455,takvim,/yasam/2022/09/16/unlu-ailede-soke-eden-dava-babasi-bizimkiler-dizisinin-senaristiydi-bugay-ailesini-karistiran-olay,Ünlü ailede şoke eden dava! Babası Bizimkiler dizisinin senaristiydi! Bugay ailesini karıştıran olay - Takvim,"

'Hababam Sınıfı', 'Kapıcılar Kralı', 'Çöpçüler Kralı', 'Yoksul' ve 'Postacı' gibi birçok başyapıt niteliğindeki filmin senaristliğini ve ekranların fenomen dizisi 'Bizimkiler'in ise yapımcılığını ve senaristliğini üstlenen Umur Bugay, 2019 yılında Kınalıada'da girdiği denizde boğularak hayatını kaybetti. Umur Bugay'ın vefatının ardından eşi Ayşe Bugay, oğlu Ömer Bugay ile birlikte Etiler'deki dubleks evde yaşamaya başladı. Ayşe Bugay'ın iddiasına göre 49 yaşındaki oğlu Ömer Bugay, 'bipolar bozukluk' hastasıydı ve psikiyatrik ilaçlar kullanıyordu. Ailenin tüm üyeleri Ömer Bugay'ın zaman zaman hastane yatışları ve tedavisi için büyük çaba gösterdi. Ancak Ömer Bugay, ailesine karşı sözlü ve fiziksel Şiddet uygulamaya başladı. İddiaya göre, Ömer Bugay, 75 yaşındaki annesi Ayşe Bugay'ı yerde sürükledi ve kafasını giriş kapısına defalarca vurarak yaraladı. Hastaneye kaldırılan yaşlı kadının kafasına dikişler atıldı. Ayşe Bugay, eşi Umur Bugay'ın adının ve itibarının sarsılmaması için oğlundan bu zamana kadar şikâyetçi olmadı.




*Bizimkiler dizisinin senaristi Umur Bugay
'NEFESSİZ BIRAKTI'
Dilekçede, ""Ömer Bugay, geçen yıl aile fertlerine haber vermeden Fidan isimli bir kadınla evlenmiştir. Evlendikten sonra daha da agresifleşen Ömer Bugay, rahatsızlığının da etkisiyle annesi Ayşe Bugay'a karşı hasmane bir tutum sergilemiş, ağır hakaretleri ve tehditleri artmıştır. Hayali iddialar ileri süren Ömer Bugay, babasının mirasından kendisine hak verilmediğini söyleyerek aile içinde ihtilaflara sebep olmuştur. Annesini dolandırıcılıkla suçlayan Ömer Bugay, nefessiz bırakacak şekilde burnunu parmaklarıyla sıkıştırarak fiziki şiddet uygulamıştır. Oğlunun saldırıları karşısında savunmasız kalan Ayşe Bugay, rahmetli eşinden kalan yazlık evine yerleşmiştir"" denildi.
İTİRAZI REDDEDİLDİ
Ömer Bugay'ın evde bulunan maddi ve manevi değeri çok yüksek resim ve sanat heykellerini de topladığının anlatıldığı dilekçede, ""Müvekkilim, öz oğlunun ve onunla elbirliği içinde hareket eden gelininin şiddetine maruz kalmakta, kendi evine gidememektedir. Bu nedenle gerekli tedbirlerin alınmasını istiyoruz"" denildi. Talebi haklı bulan Mahkeme, Ömer Bugay ile eşi Fidan Bugay'ın mağdur Ayşe Bugay'a yaklaşmamasına karar verdi.
Aleyhine verilen uzaklaştırma kararına itiraz eden Ömer Bugay, annesinin iddialarını reddetti. Ancak mahkeme, verilen kararın yerinde olduğu gerekçesiyle Ömer Bugay'ın itirazını reddetti.
"
457,457,takvim,/yasam/2022/08/05/bodrumda-bir-ay-once-kaybolan-universite-ogrencisi-her-yerde-araniyor,Bodrum’da bir ay önce kaybolan üniversite öğrencisi her yerde aranıyor - Takvim,"

Erzurum Atatürk Üniversitesi Hukuk Fakültesi 4'üncü sınıf öğrencisi Vedat Altun, yaz döneminde otelde çalışmak üzere Bodrum'a geldi.




Bipolar bozukluğu olduğu öğrenilen Altun, 6 Temmuz'da Torba Mahallesi'nde çalıştığı otelden 'hava almaya çıkıyorum' diyerek ayrıldı, bir daha da dönmedi.




Altun'dan haber alamayan ailesi Erzurum'dan Bodrum'a gelip, kayıp ihbarında bulundu. İhbarın ardından Altun için arama çalışması başlatıldı.
"
458,458,takvim,/yasam/2022/05/26/baskan-erdoganin-turk-astronot-mujdesini-verdi-vatandas-siraya-girdi-31-bin-kisi-basvuru-yapti,Başkan Erdoğan’ın Türk astronot müjdesini verdi vatandaş sıraya girdi! 31 bin kişi başvuru yaptı - Takvim,"

Türkiye, gözünü uzaya çevirdi! Cumhurbaşkanı Tayyip Erdoğan, Türk Uzay Yolcusu ve Bilim Misyonu projesinin detayları hakkında bilgi verdi. Bilimsel araştırmalar için Uluslararası Uzay İstasyonu'na iki Türk astronotun gönderileceğini söyledi. Bunun üzerine binlerce kişi, tarihi görev için sıraya girdi! Sanayi ve Teknoloji Bakanı Mustafa Varank, başvurunun yapılacağı 'uzaya. gov.tr' sitesini tam 4 milyon kişinin ziyaret ettiğini söyledi. Sisteme kayıt yaptıranların sayısı ise 31 bindi! ""Kaydını tamamlayanların sayısı şu an 225 kişi. Ben ilginin devam edeceğine inanıyorum"" dedi.





İŞTE İSTENEN KRİTERLER
 45 yaşından küçük olacak. İyi derecede İngilizce bilecek. Tıp, mühendislik ve fen bilimlerinden mezun olacak.
 Tansiyonu 155-95'in altında olacak.
 Göz bozukluğu olmayacak. Renk körlüğü bulunmayacak. Protez ve vücudunda platin/vida olmayacak.
 Kronik kalp ve damar sistemi rahatsızlığı, panik bozukluk, bipolar bozukluk olmayacak.
"
459,459,takvim,/guncel/2022/05/25/baskan-erdoganin-aciklamasiyla-uzaya-turk-astronot-gonderilecek-tua-adaylarin-ozelliklerini-siraladi,"Başkan Erdoğan’ın açıklamasıyla uzaya Türk astronot gönderilecek! TUA, adayların özelliklerini sıraladı - Takvim","

 Başkan Recep Tayyip Erdoğan, 'Türk Uzay Yolcusu ve Bilim Misyonu' projesinin detayları açıklandı. Bilimsel araştırmalar için Uluslararası Uzay İstasyonu'na gönderilecek biri yedek iki Türk uzay yolcusu ile ilgili aranılan kriterler sıralandı. İşte uzaya gidecek ilk Türk'te olması gereken özellikler:
 45 yaşından küçük olacak. İyi derecede İngilizce bilecek. Tıp, mühendislik, fen bilimleri mezunu olacak.
 Boyu 149.5 cm ile 190.5 cm uzunluğunda olacak. Kilosu 43 kilo ile 110 kilo aralığında bulunacak. Tansiyonu 155-95'in altında olacak
 Göz bozukluğu olmayacak. Renk körlüğü bulunmayacak. Protez ve vücudunda platin/vida olmayacak.
 Kronik kalp ve damar sistemi rahatsızlığı olmaması, panik bozukluk, anksiyete bozuklukları, psikotik bozukluk, bipolar bozukluk olmayacak.





10 GÜN UZAYDA, 10 YIL TUA'DA!
Adaylardan test, tetkik ve muayene talep edilecek. İngilizce için mülakata alınacak. Seçilen 2 aday, Türk Uzay Ajansı (TUA) veya TÜBİTAK bünyesinde 10 yıl mecburi hizmet görevi yapacak.





Adaylar başvurularını 23 Haziran 2022 günü saat 20.23'e kadar 'uzaya.gov.tr' adresine yapacak. Seçilecek aday Cumhuriyetin 100'üncü yılında uzayda olacak.
"
463,463,takvim,/guncel/2022/02/02/berkay-saner-kimdir-instagram-hesabi-ne-berkay-saner-tutuklandi-mi-dilan-ayin-kardesi-irem-ayin-iskence-goruntuleri-kan-dondurdu,"Berkay Saner kimdir, İnstagram hesabı ne? Berkay Saner tutuklandı mı? Dilan Ay’ın kardeşi İrem Ay’ın işkence görüntüleri kan dondurdu - Takvim","

İrem Ay isimli 23 yaşındaki sosyal medya fenomeninin yaşadığı işkence görüntüleri Türkiye'nin günemine oturdu. İrem Ay'ın iddiasına gçre eski eşi Berkay Saner kendisini kesici aletle yaraladıktan sonra gülümseyerek başında fotoğraf çekti. Genç kadın, sosyal medya hesabından işkence görüntülerini yayınladıktan sonra yardım istedi. Sosyal medyada kısa sürede yayınlan görüntülerin ardından Twitter'da #iremay etiketiyle yüzlerce kullanıcı paylaşımlarda bulundu. Peki Berkay Saner kimdir, İnstagram hesabı ne? Berkay Saner tutuklandı mı? İrem Ay - Berkay Saner olayı nedir? Berkay Saner hasta mı? Bipolar bozukluğu nedir? İşte tüm detaylar ve yeni gelişmeler...
 




BERKAY SANER KİMDİR, İNSTAGRAM HESABI NE?
İnternette ""içerik üreticisi"" olarak tanınan İrem Ay eski eşi Berkay Saner'in kendise sistematik şekilde işkence yağtığını öne sürerek şoke eden fotoğraflar paylaştı. Berkay Saner hakkında bir bilgi bulunmamakla birlikte İrem Ay'ın işkence görüntülerinin üzerine yaptığı açıklamalar herkesi gözyaşlarına boğdu.




İREM AY KİMDİR?
Exatlon Challenge yarışmacısı Dilan Ay'ın kardeşi İrem Ay sosyal medyada yaptığı şiddet gördüğü yönündeki paylaşımlar sonrasında merak edildi. İrem Ay Berkay Saner ile evlenmiştir. Yaklaşık 23 bin takipçisi bulunan İrem Ay'ın instagram adresi iremmaayy olarak biliniyor.

SOSYAL MEDYADAN YARDIM ÇIĞLIĞI
İrem Ay, yaşadığı işkence dolu günleri şu sözlerle ifade etti:
* Ben susarsam, 'susma ve korkma' dediğim her kadın sindirilir ve susar. Korkmuyorum. Başkasının başına gelince ses çıkarmak kolayken kendi başına gelince utanıyor ve geri duruyorsun. Utanması gereken sen değilsin. Şiddetin her türlüsüne hayır. Bir de üstüne gülümseyerek selfie çekilenine.

* Acı çekmek ne demekmiş asıl şimdi anlıyorum. Acı çekmek bayılana kadar dayak Yemek değildi. Ayaktaki cam kesiğine eczanede dikiş attırmak değildi. Asıl acı kalbi baştan aşağı sancılara boğan, insanı sırrını kimselere anlatamadan ölmeyi arzulatan bir şeydi.''

Sosyal medyada büyük infial yaratan görüntülerin ardından binlerce kullanıcı, İrem'e destek mesajları atarken Berkay S.'ye tepki gösterdi. Ayrıca İrem'in kız kardeşi Dilan Ay, ""Annemi kurban ettim ama kardeşimi etmeyeceğim"" paylaşımı yaparak adalet çağrısında bulundu.

"
464,464,takvim,/guncel/2022/02/02/irem-ay-kimdir-instagram-hesabi-ne-irem-ay-berkay-saner-olayi-nedir-bipolar-bozuklugu-nedir,"İrem Ay kimdir, İnstagram hesabı ne? İrem Ay Berkay Saner olayı nedir? Bipolar bozukluğu nedir? - Takvim","

İrem Ay - Berkay Saner olayı sosyal medyanın en çok konuşulan konuları arasında yer alıyor. Sosyal medya fenomeni Dilan Ay'ın kardeşi olarak bilinen İrem Ay'ın işkence görüntüleri gündem oldu. 4 yıl evli kaldığı Berkay Saner'den şiddet gördüğünü iddia eden İrem Ay hesabından paylaştığı görüntülerle tüm Türkiye'yi ayağa kaldırdı. Peki İrem Ay kimdir, kaç yaşında? İnstagram hesabı ne? Berkay Saner tutuklandı mı? İrem Ay Berkay Saner olayı nedir? Bipolar bozukluğu nedir?



İREM AY KİMDİR?
Dilan Ay' bir dijital içerik platformundan yayınlanan programda yarışmacı olarak yer alıyor. Dilan Ay'ın kardeşi İrem Ay sosyal medyada yaptığı şiddet gördüğü yönündeki paylaşımlarla gündeme geldi.

Berkay Saner ile evlenen İrem Ay internette ""içerik üreticisi"" olarak tanınıyor.
Fenomen İrem Ay: Davamdan vazgeçmem
 
 

4 yıl evli kaldığı Berkay Saner'den ayrıldıktan sonra şiddet gördüğünü öne süren 23 yaşındaki kadın, ardı arkası kesilmeyen skandal fotoğraflar paylaşarak Türkiye'nin gündemine oturdu.

Sosyal medya hesabında yaklaşık 23 bin takipçisi bulunan İrem Ay'ın instagram adresi iremmaayy olarak biliniyor.




İREM AY BERKAY SANER OLAYI NEDİR?
İrem Ay, yaşadığı işkence dolu günleri şu sözlerle anlattı;
* Ben susarsam, 'susma ve korkma' dediğim her kadın sindirilir ve susar. Korkmuyorum. Başkasının başına gelince ses çıkarmak kolayken kendi başına gelince utanıyor ve geri duruyorsun. Utanması gereken sen değilsin. Şiddetin her türlüsüne hayır. Bir de üstüne gülümseyerek selfie çekilenine.

* Acı çekmek ne demekmiş asıl şimdi anlıyorum. Acı çekmek bayılana kadar dayak Yemek değildi. Ayaktaki cam kesiğine eczanede dikiş attırmak değildi. Asıl acı kalbi baştan aşağı sancılara boğan, insanı sırrını kimselere anlatamadan ölmeyi arzulatan bir şeydi.''

Sosyal medyada büyük infial yaratan görüntülerin ardından binlerce kullanıcı, İrem'e destek mesajları atarken Berkay S.'ye tepki gösterdi. Ayrıca İrem'in kız kardeşi Dilan Ay, ""Annemi kurban ettim ama kardeşimi etmeyeceğim"" paylaşımı yaparak adalet çağrısında bulundu.
"
465,465,takvim,/yasam/2022/01/25/hic-memur-degiliz-ogrencisini-olduresiye-dovdu-yeni-gorevi-hayrete-dusurdu,Hiç ’memur’ değiliz! Öğrencisini öldüresiye döven öğretmenin yeni görevi hayrete düşürdü - Takvim,"

Türkiye, geçtiğimiz ay yaşanan öğretmen vahşetine kilitlendi! Yer Aksaray'ın Ortaköy İlçesi'ydi. Şehit Salih Aksu Ortaokulu'nda görevli matematik öğretmeni Ali Rıza Yücel, öğrencisi T.K'yı kendisine küfür ettiği için defalarca tokatlayıp darp etti! Hakkında soruşturma açılan cani öğretmenin 1.5 yıla kadar hapsi istendi. Bugün hakim karşısına çıkacak olan Yücel ifadesinde ""Birkaç kez tokat attım. Amacım; yalan söylemeyi alışkanlık haline getirmesini engellemekti. Epilepsi ve bipolar bozukluk hastasıyım. Bir anlık sinirle yaptım"" dedi. Görevine son verilen Ali Rıza Yücel'in İl Milli Eğitim Müdürlüğü'nde memur olarak işe girdiği belirlendi. Vatandaştan tepki gecikmedi: Okulun bile önünden geçmemesi gerek!





OTELDE ÖLDÜ
Kanada'da yaşayan işadamı Koral Kanca (55), iş toplantıları için İstanbul'a geldi. 16 Ocak'ta Beşiktaş'taki bir otele yerleşti. 20 Ocak'ta aniden odasında rahatsızlanınca, resepsiyondan yardım istedi. Otel yetkilisi, Kanca'nın kalp krizi geçirdiğini görünce, müdahale etmeye çalıştı. Ambülans geldiğinde Kanca'nın öldüğü belirlendi. Son yolculuğuna uğurlanan Kanca'nın yakınları, şok ölüm üzerine sinir krizleri geçirdi.





KRİPTO İNTİHARI!
İstanbul Kâğıthane'de yaşayan 22 yaşındaki üniversite öğrencisi M.S., canına kıydı. Yaşadığı apartmanın üçüncü katından atlayarak hayatına son veren gencin sosyal medya hesabında yapmış olduğu ""intihar"" içerikli yazı dikkatleri üzerine çekti. Paylaşımında kripto paradan zarar ettiğini paylaşan genç, bu nedenle yaşamına son verdiği ifade etti.
"
468,468,takvim,/yasam/2021/12/08/son-dakika-asci-universite-ogrencisinin-basini-satirla-kesti-antalya-valiliginden-aciklama-supheli-bipolar-29-temmuzdan-bu-yana-kontrollerine-gitmiyor,SON DAKİKA: Aşçı üniversite öğrencisinin başını satırla kesti! Antalya Valiliği’nden açıklama: Şüpheli bipolar 29 Temmuz’dan bu yana kontrollerine gitmiyor - Takvim,"

Antalya Valiliği, özel bir yurtta kalan üniversite öğrencisini öldüren şüphelinin çeşitli psikolojik rahatsızlıklarının bulunduğunu, 29 Temmuz'dan sonra aylık rutin kontrollere gitmediğinin tespit edildiğini bildirdi.




29 TEMMUZ 2021'DEN SONRA KONTROLE GİTMEDİ
Valilikten yapılan açıklamada, üniversite öğrencisi M.S.T'yi öldüren şüpheli İ.G'nin, 21 yıldır aşçı olarak çalıştığı ve olaydan 3 ay önce yurtta işe başladığı belirtildi.




Şüpheliye, 17 Mart 2020'de düzenlenen doktor raporunda bipolar duygulanım bozukluğu teşhisi konulduğuna dikkat çekilen açıklamada, şunlar kaydedildi:
"
469,469,takvim,/yasam/2021/11/08/izmir-cesme-otoyolunda-ters-yonde-gidip-bir-kisinin-olumune-neden-olan-surucuye-16-yil-8-ay-hapis,İzmir-Çeşme Otoyolu’nda ters yönde gidip bir kişinin ölümüne neden olan sürücüye 16 yıl 8 ay hapis - Takvim,"

İzmir 8. Ağır Ceza Mahkemesindeki duruşmaya, tutuklu sanık Meltem Ö, bulunduğu cezaevinden Ses ve Görüntü Bilişim Sistemi (SEGBİS) ile katıldı.
Duruşmada taraf avukatları da hazır bulundu.





Tutuklu sanık Meltem Ö, tahliyesini talep ederek, ""Olmam gereken ameliyatlarım var. Cezaevindeyken bu ameliyatları yapmıyorlar. Hiçbir işimi kendim yapamıyorum."" dedi.
Sanık avukatı da müvekkilinin bipolar hastası olduğunu savundu. Trafik kazasının müvekkilinin bu hastalığın atak döneminde gerçekleştiğini ileri süren sanık avukatı, ""Bipolar bozukluk hastalarının trafikte hız konusunda kendilerini kontrol edememe durumlarının olduğu bilinmektedir. Müvekkil ters yöne girdiğini bilmekle birlikte ileride kısa sürede karşı şeride geçebileceği düşüncesiyle yola devam ettiğini savunmasında belirtmiştir. Kendisi de ağır derecede yaralanmıştır. Olayın kastla gerçekleşmediği açıktır."" dedi.





Mahkeme heyeti, sanık Meltem Ö'nün Nurullah Gül'e karşı ""kasten öldürme"" suçunu işlediği gerekçesiyle müebbet hapis cezası ile cezalandırılmasına karar verip, sanığın eylemi ""olası kast"" ile işlediği gerekçesiyle de bu cezayı 20 yıla indirdi.
Heyet daha sonra, cezanın sanığın geleceği üzerindeki etkileri nazara alınarak indirim yapılmasına karar verip, Meltem Ö'nün 16 yıl 8 ay hapis ile cezalandırılmasına ve tutukluluk halinin devamına hükmetti.
"
471,471,takvim,/yasam/2021/09/13/rezidansta-olu-bulunan-sedanur-senin-babasi-konustu,Rezidansta ölü bulunan Sedanur Şen’in babası konuştu - Takvim,"İstanbul'da Sedanur Şen adlı genç kız, rezidansta öldü. Erkek arkadaşı Serdar Yazıcı, gözaltına alınıp serbest bırakıldı. Genç kızın uyuşturucudan öldüğü vurgulandı. Baba İbrahim Şen kızının bipolar hastası olduğunu açıkladı.

""Sedanur tedavi görüyordu. Madde kullanmayı engelleyici çip taktılar. Bu adam onu bile bile rezidansa götürüyor. Sırf madde vermek için benim kızımı öldürüyor. Kızım bir melekti. Sokaklardan yavru kedileri toplayan, kimseyi kırmayan, hassas, tertemiz biriydi... Onlar kızımıza kıydılar"" diye ağladı..."
